,model,accuracy,balanced_accuracy,f1_macro,f1_weighted,recall_macro,recall_weighted,precision_macro,precision_weighted,time_train,time_predict
0,linear_svc_tfidf_grid,0.8072650326221125,0.6653243574176458,0.552705673199993,0.8442526687098396,0.6653243574176458,0.8072650326221125,0.5163035493126041,0.9047863508753398,84.81927609443665,0.0456042289733886
1,logisticregression_tfidf_grid,0.8203138776229942,0.6226157585529749,0.5306884554130096,0.8449402723228364,0.6226157585529749,0.8203138776229942,0.5006850458463362,0.8868932248048408,191.14526081085205,0.0441839694976806
2,multinomialnb_tfidf_grid,0.8016222888379475,0.661859619325558,0.5458672574853364,0.8397194084598752,0.661859619325558,0.8016222888379475,0.5098161019763734,0.902839407056622,48.58947014808655,0.045914888381958
3,GRU_mcl2,0.8573265075683594,0.6359287759346507,0.5675122130963899,0.8756749178734694,0.6359287759346507,0.8573264781491002,0.5320686558916977,0.9026963709853544,373.3103227615357,5.0656819343566895
4,linear_svc_tfidf_grid_rcm,0.6516143330098213,0.6516143330098213,0.5445899253178079,0.8426402003838549,0.6516143330098213,0.8046199964732851,0.5108939096645922,0.9036511711788616,89.56541609764099,0.0465281009674072
5,logistic_regression_tfidf_grid_rcm,0.6613271616786303,0.6613271616786303,0.5437160828956863,0.8370800315936685,0.6613271616786303,0.7970375595133133,0.5092411270675937,0.90353238371498,191.017315864563,0.0445790290832519
6,multinomialnb_tfidf_grid_rcm,0.6600035568383721,0.6600035568383721,0.5451075141647918,0.8391738606206092,0.6600035568383721,0.8010932816081819,0.5090350844264958,0.9022522057194324,48.67394781112671,0.0452082157135009
16,Logistic_reg_cvz,0.7921001587021689,0.672884257197166,0.5443033027195512,0.8339863346348906,0.672884257197166,0.7921001587021689,0.5089759792931384,0.9058589936360012,2.748950958251953,0.1111152172088623
17,Random_forest_cvz,0.7935108446482102,0.6546041162945258,0.5374934115023474,0.8339347925041241,0.6546041162945258,0.7935108446482102,0.5032463148866052,0.9012866399767236,6.744739055633545,1.0426440238952637
18,LinearSVC_cvz,0.8046199964732851,0.6621491125611815,0.5477239690376846,0.8423896100192008,0.6621491125611815,0.8046199964732851,0.5117042529040504,0.9045879642460318,0.1352300643920898,0.0579190254211425
19,SVC(kernel=rbf)_cvz,0.766531475930171,0.6653097682645926,0.5287341850909374,0.817001042469237,0.6653097682645926,0.766531475930171,0.5011972373775028,0.9053934475637864,672.4616508483887,128.58703207969666
20,MultinomialNB_cvz,0.7859284076882384,0.6661027230268369,0.5368525210126665,0.8295063709567487,0.6661027230268369,0.7859284076882384,0.5030669404627195,0.9045436618868756,0.0262508392333984,0.0381450653076171
21,GaussianNB_cvz,0.7467818726855934,0.5207289180969162,0.445221729924913,0.7937490809439961,0.5207289180969162,0.7467818726855934,0.4415248821790878,0.8641317547882675,0.2002220153808593,0.8675317764282227
22,ComplementNB_cvz,0.834597072826662,0.6558235322910148,0.5633662119160451,0.8612968997115117,0.6558235322910148,0.834597072826662,0.5243559524193085,0.903434440112536,0.02305269241333,0.0360102653503418
23,KNN_cvz,0.7882207723505554,0.6028679967215987,0.5042138525802614,0.8282474885222376,0.6028679967215987,0.7882207723505554,0.476955163075104,0.8923339128021304,0.0083179473876953,2.038459300994873
24,Gradient Boosting Classifier_cvz,0.7314406630223946,0.6147550414400892,0.4895176287779408,0.7927630699553119,0.6147550414400892,0.7314406630223946,0.4760292954272856,0.89870396084604,106.75382900238036,0.1607618331909179
25,log_reg_bsl,0.7464212678936605,0.5105692413244367,0.4415315512947552,0.7926411849715008,0.5105692413244367,0.7464212678936605,0.4283259395947223,0.8595814786779684,0.0074038505554199,0.002943992614746
26,dec_tree_bsl,0.5105657805044308,0.432667494105337,0.3207169644699033,0.6148390541948577,0.432667494105337,0.5105657805044308,0.3731392912270578,0.8451432199388896,0.0083389282226562,0.0011670589447021
27,r_fo_bsl,0.5775391956373551,0.4603020085921225,0.3540365144686661,0.672252193510093,0.4603020085921225,0.5775391956373551,0.3868048164654757,0.8577097706321016,0.7071449756622314,0.1133699417114257
28,g_nb_bsl,0.7978868438991138,0.4700355001334096,0.4400896366944125,0.818737082132211,0.4700355001334096,0.7978868438991138,0.4265054828214336,0.8446015455266468,0.0013251304626464,0.0004827976226806
29,m_nb_bsl,0.6596796182685754,0.43984982455393,0.3737048889974537,0.7284797550507494,0.43984982455393,0.6596796182685752,0.3819095300819284,0.8357216091844591,0.0019738674163818,0.0083992481231689
30,c_nb_bsl,0.6830265848670757,0.4314035350833369,0.3741572477801124,0.7423919944667081,0.4314035350833369,0.6830265848670757,0.3792742493503498,0.8314008020932094,0.0016069412231445,0.0016741752624511
31,lsvc_bsl,0.7810156782549421,0.5016114456964703,0.447886654869466,0.8125586488616704,0.5016114456964703,0.7810156782549421,0.4310427176918767,0.8561128752761088,0.3205921649932861,0.0012698173522949
32,svc_bsl,0.7096114519427403,0.5124413649509975,0.4271491518236232,0.7692972956661567,0.5124413649509975,0.7096114519427403,0.4247337036662879,0.8621809212592972,0.42317795753479,1.54931902885437
33,knn_bsl,0.5204498977505112,0.4624220184892785,0.3330024853155682,0.6228353920308538,0.4624220184892785,0.5204498977505112,0.3828415940084595,0.8561674769411445,0.0024409294128417,0.3368580341339111
34,gdb_bsl,0.6613837764144512,0.5033004231445053,0.4036478094376858,0.7359426756333236,0.5033004231445053,0.6613837764144512,0.4103410842510133,0.8632755827637008,0.7735118865966797,0.022266149520874
35,Logistic_reg_tfidf,0.7921001587021689,0.672884257197166,0.5443033027195512,0.8339863346348906,0.672884257197166,0.7921001587021689,0.5089759792931384,0.9058589936360012,2.748950958251953,0.1111152172088623
36,Random_forest_tfidf,0.7935108446482102,0.6546041162945258,0.5374934115023474,0.8339347925041241,0.6546041162945258,0.7935108446482102,0.5032463148866052,0.9012866399767236,6.744739055633545,1.0426440238952637
37,LinearSVC_tfidf,0.8046199964732851,0.6621491125611815,0.5477239690376846,0.8423896100192008,0.6621491125611815,0.8046199964732851,0.5117042529040504,0.9045879642460318,0.1352300643920898,0.0579190254211425
38,SVC(kernel=rbf)_tfidf,0.766531475930171,0.6653097682645926,0.5287341850909374,0.817001042469237,0.6653097682645926,0.766531475930171,0.5011972373775028,0.9053934475637864,672.4616508483887,128.58703207969666
39,MultinomialNB_tfidf,0.7859284076882384,0.6661027230268369,0.5368525210126665,0.8295063709567487,0.6661027230268369,0.7859284076882384,0.5030669404627195,0.9045436618868756,0.0262508392333984,0.0381450653076171
40,GaussianNB_tfidf,0.7467818726855934,0.5207289180969162,0.445221729924913,0.7937490809439961,0.5207289180969162,0.7467818726855934,0.4415248821790878,0.8641317547882675,0.2002220153808593,0.8675317764282227
41,ComplementNB_tfidf,0.834597072826662,0.6558235322910148,0.5633662119160451,0.8612968997115117,0.6558235322910148,0.834597072826662,0.5243559524193085,0.903434440112536,0.02305269241333,0.0360102653503418
42,KNN_tfidf,0.7882207723505554,0.6028679967215987,0.5042138525802614,0.8282474885222376,0.6028679967215987,0.7882207723505554,0.476955163075104,0.8923339128021304,0.0083179473876953,2.038459300994873
43,Gradient Boosting Classifier_tfidf,0.7314406630223946,0.6147550414400892,0.4895176287779408,0.7927630699553119,0.6147550414400892,0.7314406630223946,0.4760292954272856,0.89870396084604,106.75382900238036,0.1607618331909179
44,GRU_mcl1,0.852185070514679,0.6584141952299922,0.587356145108655,0.8751792657355073,0.6584141952299922,0.8521850899742931,0.5555515519362838,0.9080234418804056,324.20616602897644,6.085978031158447
45,GRU_mcl0,0.8446872234344482,0.6590679876601803,0.5968373493227205,0.8815254481892055,0.6590679876601803,0.8605398457583547,0.5703142831273392,0.9109268660074024,337.4395740032196,6.384406805038452
46,grid_log_reg_bsl_grid,0.7464212678936605,0.5105692413244367,0.4415315512947552,0.7926411849715008,0.5105692413244367,0.7464212678936605,0.4283259395947223,0.8595814786779684,1.034632921218872,0.0004589557647705
47,grid_lsvc_bsl_grid,0.6503067484662577,0.5081629076800855,0.3923610063991082,0.7249426422119808,0.5081629076800855,0.6503067484662577,0.4026644875956723,0.8621609335324141,2.145461082458496,0.0004489421844482
48,grid_svc_bsl_grid,0.7525562372188139,0.5196609670022775,0.4492920060993124,0.7972239714073709,0.5196609670022775,0.7525562372188139,0.439643304540082,0.861919757971172,47.42405891418457,0.3820312023162842
49,grid_gdb_bsl_grid,0.6613837764144512,0.5126164005787862,0.4089533542649335,0.7356747748470465,0.5126164005787862,0.6613837764144512,0.4146757375491059,0.8635736093723997,255.28456807136536,0.0470728874206543
